topic,strategy,rank,tts,tts_tfidf,kis
677,s3,7,lean tower stabil,pisa tower provid,tower pisa reopen
677,s3,8,lean tower how,pisa tower document,tower pisa ingot
677,s3,9,lean tower success,pisa tower reflect,tower pisa perpendicular
677,s3,10,lean tower relev,pisa tower condit,tower pisa 1173
436,s3,1,railwai accid what,accid railwai relev,train accid railroad
436,s3,2,railwai accid caus,accid railwai railroad,train accid derail
436,s3,3,railwai accid throughout,accid railwai streetcar,train accid crash
436,s3,4,railwai accid world,accid railwai safeti,train accid amtrak
436,s3,5,railwai accid relev,accid railwai trollei,train accid track
436,s3,6,railwai accid document,accid railwai document,train accid passeng
436,s3,7,railwai accid provid,accid railwai locomot,train accid car
436,s3,8,railwai accid data,accid railwai pedestrian,train accid said
436,s3,9,railwai accid ani,accid railwai caus,train accid rail
436,s3,10,railwai accid sort,accid railwai rail,train accid signal
439,s3,1,invent scientif discoveri,discoveri scientif invent,patent research dr
439,s3,2,invent scientif what,discoveri scientif relev,patent research laser
439,s3,3,invent scientif new,discoveri scientif astronomi,patent research chip
439,s3,4,invent scientif have,discoveri scientif patent,patent research devic
439,s3,5,invent scientif been,discoveri scientif descript,patent research transistor
439,s3,6,invent scientif made,discoveri scientif defin,patent research molecul
439,s3,7,invent scientif word,discoveri scientif document,patent research optic
439,s3,8,invent scientif descript,discoveri scientif occur,patent research silicon
439,s3,9,invent scientif defin,discoveri scientif made,patent research nanotub
439,s3,10,invent scientif occur,discoveri scientif indic,patent research electron
362,s3,1,human smuggl identifi,smuggl human incid,immigr smuggl smuggler
362,s3,2,human smuggl incid,smuggl human smuggler,immigr smuggl illeg
362,s3,3,human smuggl relev,smuggl human monetari,immigr smuggl chines
362,s3,4,human smuggl document,smuggl human relev,immigr smuggl border
362,s3,5,human smuggl show,smuggl human ten,immigr smuggl said
362,s3,6,human smuggl least,smuggl human document,immigr smuggl mexican
362,s3,7,human smuggl ten,smuggl human be,immigr smuggl ship
362,s3,8,human smuggl be,smuggl human will,immigr smuggl were
362,s3,9,human smuggl smuggler,smuggl human particip,immigr smuggl alien
362,s3,10,human smuggl would,smuggl human realiz,immigr smuggl asylum
363,s3,1,transport tunnel disast,tunnel disast relev,tunnel train subwai
363,s3,2,transport tunnel what,tunnel disast transport,tunnel train fire
363,s3,3,transport tunnel have,tunnel disast document,tunnel train station
363,s3,4,transport tunnel occur,tunnel disast occur,tunnel train transit
363,s3,5,transport tunnel us,tunnel disast sewag,tunnel train passeng
363,s3,6,transport tunnel relev,tunnel disast etc,tunnel train said
363,s3,7,transport tunnel document,tunnel disast earthquak,tunnel train car
363,s3,8,transport tunnel identifi,tunnel disast accident,tunnel train were
363,s3,9,transport tunnel train,tunnel disast flood,tunnel train track
363,s3,10,transport tunnel motor,tunnel disast wire,tunnel train accid
321,s3,1,women parliament pertin,represent pertin women,women elect polit
321,s3,2,women parliament document,represent pertin parliament,women elect candid
321,s3,3,women parliament reflect,represent pertin legislatur,women elect she
321,s3,4,women parliament fact,represent pertin document,women elect democrat
321,s3,5,women parliament continu,represent pertin inclus,women elect ms
321,s3,6,women parliament poorli,represent pertin poorli,women elect woman
321,s3,7,women parliament repres,represent pertin decreas,women elect vote
321,s3,8,women parliament across,represent pertin mandat,women elect parliament
321,s3,9,women parliament world,represent pertin gap,women elect senat
321,s3,10,women parliament gap,represent pertin femal,women elect femal
442,s3,1,heroic act find,heroic relev act,he medal fire
442,s3,2,heroic act account,heroic relev selfless,he medal firefight
442,s3,3,heroic act selfless,heroic relev descript,he medal hi
442,s3,4,heroic act individu,heroic relev document,he medal rescu
442,s3,5,heroic act small,heroic relev contain,he medal honor
442,s3,6,heroic act group,heroic relev specif,he medal hero
442,s3,7,heroic act benefit,heroic relev individu,he medal heroism
442,s3,8,heroic act other,heroic relev statement,he medal sergeant
442,s3,9,heroic act caus,heroic relev benefit,he medal who
442,s3,10,heroic act relev,heroic relev account,he medal save
443,s3,1,u. invest africa,u. africa sub,africa african countri
443,s3,2,u. invest what,u. africa relev,africa african south
443,s3,3,u. invest extent,u. africa government,africa african aid
443,s3,4,u. invest govern,u. africa invest,africa african saharan
443,s3,5,u. invest privat,u. africa privat,africa african debt
443,s3,6,u. invest sub,u. africa membership,africa african nigeria
443,s3,7,u. invest all,u. africa extent,africa african world
443,s3,8,u. invest refer,u. africa document,africa african invest
443,s3,9,u. invest government,u. africa contribut,africa african sub
443,s3,10,u. invest assist,u. africa refer,africa african nation
367,s3,1,piraci what modern,piraci vessel relev,pirat ship vessel
367,s3,2,piraci what instanc,piraci vessel fish,pirat ship boat
367,s3,3,piraci what have,piraci vessel document,pirat ship piraci
367,s3,4,piraci what been,piraci vessel discuss,pirat ship klinghoff
367,s3,5,piraci what old,piraci vessel board,pirat ship blyth
367,s3,6,piraci what fashion,piraci vessel clash,pirat ship attack
367,s3,7,piraci what board,piraci vessel boat,pirat ship hijack
367,s3,8,piraci what take,piraci vessel non,pirat ship sea
367,s3,9,piraci what control,piraci vessel content,pirat ship crew
367,s3,10,piraci what boat,piraci vessel ship,pirat ship lauro
400,s3,1,amazon rain forest,amazon forest rain,amazon forest brazil
400,s3,2,amazon rain what,amazon forest preserv,amazon forest rain
400,s3,3,amazon rain measur,amazon forest measur,amazon forest environment
400,s3,4,amazon rain be,amazon forest endeavor,amazon forest brazilian
400,s3,5,amazon rain taken,amazon forest tropic,amazon forest deforest
400,s3,6,amazon rain local,amazon forest relev,amazon forest mend
400,s3,7,amazon rain south,amazon forest taken,amazon forest tapper
400,s3,8,amazon rain american,amazon forest document,amazon forest collor
400,s3,9,amazon rain author,amazon forest be,amazon forest indian
400,s3,10,amazon rain preserv,amazon forest identifi,amazon forest jungl
445,s3,1,women clergi what,clergi e.g instal,church anglican bishop
445,s3,2,women clergi other,clergi e.g nun,church anglican archbishop
445,s3,3,women clergi countri,clergi e.g church,church anglican women
445,s3,4,women clergi besid,clergi e.g countri,church anglican ordain
445,s3,5,women clergi unit,clergi e.g choir,church anglican ordin
445,s3,6,women clergi state,clergi e.g pastor,church anglican priest
445,s3,7,women clergi consid,clergi e.g women,church anglican canterburi
445,s3,8,women clergi have,clergi e.g relev,church anglican cathol
445,s3,9,women clergi approv,clergi e.g must,church anglican episcop
445,s3,10,women clergi person,clergi e.g consid,church anglican pope
325,s3,1,cult lifestyl describ,cult relev lifestyl,cult sect aum
325,s3,2,cult lifestyl name,cult relev document,cult sect koresh
325,s3,3,cult lifestyl identifi,cult relev name,cult sect asahara
325,s3,4,cult lifestyl member,cult relev attain,cult sect member
325,s3,5,cult lifestyl activ,cult relev clarifi,cult sect compound
325,s3,6,cult lifestyl everydai,cult relev everydai,cult sect shinrikyo
325,s3,7,cult lifestyl life,cult relev inform,cult sect davidian
325,s3,8,cult lifestyl relev,cult relev member,cult sect group
325,s3,9,cult lifestyl document,cult relev eat,cult sect mr
325,s3,10,cult lifestyl would,cult relev ultim,cult sect were
404,s3,1,ireland peac talk,ireland peac violenc,i.r.a sinn fein
404,s3,2,ireland peac how,ireland peac relev,i.r.a sinn ireland
404,s3,3,ireland peac often,ireland peac act,i.r.a sinn protest
404,s3,4,ireland peac were,ireland peac interrupt,i.r.a sinn irish
404,s3,5,ireland peac delai,ireland peac disrupt,i.r.a sinn british
404,s3,6,ireland peac disrupt,ireland peac talk,i.r.a sinn northern
404,s3,7,ireland peac result,ireland peac attribut,i.r.a sinn peac
404,s3,8,ireland peac act,ireland peac directli,i.r.a sinn cathol
404,s3,9,ireland peac violenc,ireland peac delai,i.r.a sinn talk
404,s3,10,ireland peac ani,ireland peac process,i.r.a sinn belfast
646,s3,1,food stamp increas,stamp food document,stamp food welfar
646,s3,2,food stamp find,stamp food relev,stamp food benefit
646,s3,3,food stamp document,stamp food elig,stamp food program
646,s3,4,food stamp discuss,stamp food discuss,stamp food immigr
646,s3,5,food stamp number,stamp food recipi,stamp food feder
646,s3,6,food stamp peopl,stamp food impli,stamp food state
646,s3,7,food stamp receiv,stamp food increas,stamp food recipi
646,s3,8,food stamp benefit,stamp food immigr,stamp food elig
646,s3,9,food stamp chang,stamp food certain,stamp food peopl
646,s3,10,food stamp law,stamp food peopl,stamp food poor
408,s3,1,tropic storm what,storm tropic damag,hurrican storm damag
408,s3,2,tropic storm hurrican,storm tropic typhoon,hurrican storm flood
408,s3,3,tropic storm typhoon,storm tropic hurrican,hurrican storm wind
408,s3,4,tropic storm have,storm tropic caus,hurrican storm were
408,s3,5,tropic storm caus,storm tropic relev,hurrican storm island
408,s3,6,tropic storm signific,storm tropic slight,hurrican storm coast
408,s3,7,tropic storm properti,storm tropic extent,hurrican storm said
408,s3,8,tropic storm damag,storm tropic document,hurrican storm peopl
408,s3,9,tropic storm loss,storm tropic properti,hurrican storm rain
408,s3,10,tropic storm life,storm tropic affect,hurrican storm florida
690,s3,1,colleg educ advantag,document advantag relev,colleg job wage
690,s3,2,colleg educ find,document advantag colleg,colleg job worker
690,s3,3,colleg educ document,document advantag cite,colleg job educ
690,s3,4,colleg educ which,document advantag vocat,colleg job graduat
690,s3,5,colleg educ describ,document advantag opportun,colleg job percent
690,s3,6,colleg educ hire,document advantag educ,colleg job economist
690,s3,7,colleg educ potenti,document advantag u.,colleg job employ
690,s3,8,colleg educ increas,document advantag non,colleg job incom
690,s3,9,colleg educ incom,document advantag hire,colleg job high
690,s3,10,colleg educ graduat,document advantag incom,colleg job school
372,s3,1,nativ american casino,nativ casino gambl,casino tribe indian
372,s3,2,nativ american identifi,nativ casino american,casino tribe gambl
372,s3,3,nativ american document,nativ casino document,casino tribe tribal
372,s3,4,nativ american discuss,nativ casino autonomi,casino tribe pequot
372,s3,5,nativ american growth,nativ casino tribal,casino tribe state
372,s3,6,nativ american gambl,nativ casino discuss,casino tribe mohawk
372,s3,7,nativ american relev,nativ casino relev,casino tribe reserv
372,s3,8,nativ american includ,nativ casino implic,casino tribe foxwood
372,s3,9,nativ american regard,nativ casino aspect,casino tribe land
372,s3,10,nativ american it,nativ casino regard,casino tribe catskil
330,s3,1,iran cooper queri,cooper iran queri,iran iraq iranian
330,s3,2,iran cooper look,cooper iran etc,iran iraq iraqi
330,s3,3,iran cooper exampl,cooper iran benefici,iran iraq war
330,s3,4,iran cooper friendli,cooper iran relev,iran iraq teheran
330,s3,5,iran cooper ti,cooper iran sanction,iran iraq gulf
330,s3,6,iran cooper between,cooper iran mutual,iran iraq ceas
330,s3,7,iran cooper iraq,cooper iran collabor,iran iraq baghdad
330,s3,8,iran cooper wai,cooper iran friendli,iran iraq shiit
330,s3,9,iran cooper which,cooper iran countri,iran iraq peac
330,s3,10,iran cooper two,cooper iran religi,iran iraq unit
375,s3,1,hydrogen energi what,hydrogen energi fusion,hydrogen fuel fusion
375,s3,2,hydrogen energi statu,hydrogen energi feasibl,hydrogen fuel cell
375,s3,3,hydrogen energi research,hydrogen energi research,hydrogen fuel energi
375,s3,4,hydrogen energi feasibl,hydrogen energi relev,hydrogen fuel car
375,s3,5,hydrogen energi sourc,hydrogen energi fuel,hydrogen fuel vehicl
375,s3,6,hydrogen energi relev,hydrogen energi document,hydrogen fuel electr
375,s3,7,hydrogen energi document,hydrogen energi statu,hydrogen fuel power
375,s3,8,hydrogen energi describ,hydrogen energi progress,hydrogen fuel hybrid
375,s3,9,hydrogen energi progress,hydrogen energi engin,hydrogen fuel gasolin
375,s3,10,hydrogen energi control,hydrogen energi sourc,hydrogen fuel ga
378,s3,1,euro opposit identifi,euro opposit document,euro european currenc
378,s3,2,euro opposit document,euro opposit relev,euro european europ
378,s3,3,euro opposit discuss,euro opposit currenc,euro european britain
378,s3,4,euro opposit us,euro opposit us,euro european monetari
378,s3,5,euro opposit european,euro opposit european,euro european treati
378,s3,6,euro opposit currenc,euro opposit oppos,euro european union
378,s3,7,euro opposit relev,euro opposit identifi,euro european germani
378,s3,8,euro opposit should,euro opposit individu,euro european blair
378,s3,9,euro opposit includ,euro opposit discuss,euro european econom
378,s3,10,euro opposit countri,euro opposit reason,euro european german
379,s3,1,mainstream identifi document,impair mainstream mental,educ student special
379,s3,2,mainstream identifi discuss,impair mainstream document,educ student school
379,s3,3,mainstream identifi children,impair mainstream children,educ student disabl
379,s3,4,mainstream identifi physic,impair mainstream physic,educ student children
379,s3,5,mainstream identifi mental,impair mainstream con,educ student classroom
379,s3,6,mainstream identifi impair,impair mainstream relev,educ student teacher
379,s3,7,mainstream identifi relev,impair mainstream belief,educ student class
379,s3,8,mainstream identifi includ,impair mainstream attitud,educ student district
379,s3,9,mainstream identifi pro,impair mainstream pro,educ student learn
379,s3,10,mainstream identifi con,impair mainstream normal,educ student program
336,s3,1,black bear attack,bear relev black,bear hunt wildlif
336,s3,2,black bear relev,bear relev viciou,bear hunt grizzli
336,s3,3,black bear document,bear relev savag,bear hunt black
336,s3,4,black bear would,bear relev attack,bear hunt anim
336,s3,5,black bear discuss,bear relev document,bear hunt kill
336,s3,6,black bear frequenc,bear relev caus,bear hunt popul
336,s3,7,black bear viciou,bear relev aforement,bear hunt human
336,s3,8,black bear worldwid,bear relev vicious,bear hunt state
336,s3,9,black bear possibl,bear relev frequenc,bear hunt jersei
336,s3,10,black bear caus,bear relev cosmet,bear hunt food
414,s3,1,cuba sugar export,sugar cuba export,cuba castro cuban
414,s3,2,cuba sugar how,sugar cuba relev,cuba castro soviet
414,s3,3,cuba sugar much,sugar cuba explicitli,cuba castro sugar
414,s3,4,cuba sugar doe,sugar cuba statist,cuba castro gorbachev
414,s3,5,cuba sugar which,sugar cuba unless,cuba castro cargil
414,s3,6,cuba sugar countri,sugar cuba document,cuba castro union
414,s3,7,cuba sugar import,sugar cuba mention,cuba castro econom
414,s3,8,cuba sugar relev,sugar cuba regard,cuba castro fidel
414,s3,9,cuba sugar document,sugar cuba trade,cuba castro havana
414,s3,10,cuba sugar provid,sugar cuba inform,cuba castro foreign
416,s3,1,three gorg project,project gorg ongo,dam china yangtz
416,s3,2,three gorg what,project gorg relev,dam china gorg
416,s3,3,three gorg ongo,project gorg estim,dam china project
416,s3,4,three gorg statu,project gorg ecolog,dam china river
416,s3,5,three gorg relev,project gorg actual,dam china chines
416,s3,6,three gorg document,project gorg output,dam china water
416,s3,7,three gorg provid,project gorg electr,dam china flood
416,s3,8,three gorg actual,project gorg document,dam china chongq
416,s3,9,three gorg date,project gorg statu,dam china beij
416,s3,10,three gorg complet,project gorg impact,dam china three
614,s3,1,flavr savr tomato,flavr savr tomato,genet tomato calgen
614,s3,2,flavr savr find,flavr savr genet,genet tomato biotechnolog
614,s3,3,flavr savr inform,flavr savr relev,genet tomato food
614,s3,4,flavr savr about,flavr savr calgen,genet tomato gene
614,s3,5,flavr savr first,flavr savr saver,genet tomato plant
614,s3,6,flavr savr genet,flavr savr document,genet tomato monsanto
614,s3,7,flavr savr modifi,flavr savr food,genet tomato engin
614,s3,8,flavr savr food,flavr savr modifi,genet tomato crop
614,s3,9,flavr savr product,flavr savr flavor,genet tomato agricultur
614,s3,10,flavr savr go,flavr savr regard,genet tomato squash
419,s3,1,recycl automobil tire,tire recycl automobil,tire recycl rubber
419,s3,2,recycl automobil what,tire recycl filler,tire recycl landfil
419,s3,3,recycl automobil new,tire recycl binder,tire recycl plant
419,s3,4,recycl automobil us,tire recycl reef,tire recycl environment
419,s3,5,recycl automobil have,tire recycl asphalt,tire recycl burn
419,s3,6,recycl automobil been,tire recycl roadwai,tire recycl us
419,s3,7,recycl automobil develop,tire recycl distil,tire recycl materi
419,s3,8,recycl automobil old,tire recycl habitat,tire recycl seneca
419,s3,9,recycl automobil mean,tire recycl scrap,tire recycl reef
419,s3,10,recycl automobil relev,tire recycl rubber,tire recycl sludg
341,s3,1,airport secur relev,relev luggag screen,airport secur airlin
341,s3,2,airport secur document,relev luggag airport,airport secur passeng
341,s3,3,airport secur would,relev luggag flight,airport secur bag
341,s3,4,airport secur discuss,relev luggag step,airport secur machin
341,s3,5,airport secur effect,relev luggag passeng,airport secur explos
341,s3,6,airport secur effort,relev luggag baggag,airport secur luggag
341,s3,7,airport secur better,relev luggag scrutin,airport secur aviat
341,s3,8,airport secur scrutin,relev luggag addit,airport secur bomb
341,s3,9,airport secur passeng,relev luggag secur,airport secur flight
341,s3,10,airport secur luggag,relev luggag document,airport secur detect
344,s3,1,abus e avail,abus e payer,mail e employe
344,s3,2,abus e mani,abus e system,mail e messag
344,s3,3,abus e peopl,abus e dissatisfact,mail e compani
344,s3,4,abus e through,abus e entiti,mail e privaci
344,s3,5,abus e job,abus e relat,mail e monitor
344,s3,6,abus e school,abus e relev,mail e comput
344,s3,7,abus e affili,abus e cost,mail e employ
344,s3,8,abus e ha,abus e affili,mail e ethic
344,s3,9,abus e allow,abus e commun,mail e web
344,s3,10,abus e effici,abus e user,mail e us
345,s3,1,oversea tobacco sale,u. tobacco oversea,tobacco cigarett philip
345,s3,2,oversea tobacco health,u. tobacco health,tobacco cigarett morri
345,s3,3,oversea tobacco studi,u. tobacco sale,tobacco cigarett rjr
345,s3,4,oversea tobacco primarili,u. tobacco impact,tobacco cigarett compani
345,s3,5,oversea tobacco u.,u. tobacco econom,tobacco cigarett nabisco
345,s3,6,oversea tobacco have,u. tobacco caus,tobacco cigarett smoke
345,s3,7,oversea tobacco caus,u. tobacco relev,tobacco cigarett percent
345,s3,8,oversea tobacco reduct,u. tobacco decreas,tobacco cigarett brand
345,s3,9,oversea tobacco here,u. tobacco compani,tobacco cigarett billion
345,s3,10,oversea tobacco econom,u. tobacco primarili,tobacco cigarett marlboro
389,s3,1,illeg technolog transfer,entiti transfer illeg,toshiba export nuclear
389,s3,2,illeg technolog what,entiti transfer purpos,toshiba export technolog
389,s3,3,illeg technolog specif,entiti transfer specif,toshiba export offici
389,s3,4,illeg technolog entiti,entiti transfer indirectli,toshiba export missil
389,s3,5,illeg technolog have,entiti transfer technolog,toshiba export china
389,s3,6,illeg technolog been,entiti transfer etc,toshiba export p.r.c
389,s3,7,illeg technolog accus,entiti transfer government,toshiba export khan
389,s3,8,illeg technolog sell,entiti transfer relev,toshiba export compani
389,s3,9,illeg technolog product,entiti transfer formula,toshiba export weapon
389,s3,10,illeg technolog formula,entiti transfer hostil,toshiba export iran
422,s3,1,art stolen forg,stolen relev forg,stolen museum art
422,s3,2,art stolen what,stolen relev art,stolen museum paint
422,s3,3,art stolen incid,stolen relev mass,stolen museum theft
422,s3,4,art stolen have,stolen relev etc,stolen museum thiev
422,s3,5,art stolen been,stolen relev reproduct,stolen museum artwork
422,s3,6,art stolen instanc,stolen relev pirat,stolen museum galleri
422,s3,7,art stolen ani,stolen relev softwar,stolen museum work
422,s3,8,art stolen media,stolen relev decor,stolen museum recov
422,s3,9,art stolen relev,stolen relev incid,stolen museum from
422,s3,10,art stolen mass,stolen relev unless,stolen museum said
620,s3,1,franc nuclear test,franc nuclear document,test french nuclear
620,s3,2,franc nuclear how,franc nuclear protest,test french franc
620,s3,3,franc nuclear did,franc nuclear test,test french chirac
620,s3,4,franc nuclear respond,franc nuclear relev,test french mururoa
620,s3,5,franc nuclear protest,franc nuclear pacif,test french greenpeac
620,s3,6,franc nuclear against,franc nuclear regard,test french atol
620,s3,7,franc nuclear it,franc nuclear ani,test french pacif
620,s3,8,franc nuclear south,franc nuclear type,test french polynesia
620,s3,9,franc nuclear pacif,franc nuclear contain,test french protest
620,s3,10,franc nuclear document,franc nuclear respond,test french tahiti
423,s3,1,milosev mirjana markov,mirjana markov milosev,milosev serbia serbian
423,s3,2,milosev mirjana find,mirjana markov relev,milosev serbia belgrad
423,s3,3,milosev mirjana refer,mirjana markov mira,milosev serbia kosovo
423,s3,4,milosev mirjana wife,mirjana markov wife,milosev serbia mr
423,s3,5,milosev mirjana ani,mirjana markov mention,milosev serbia markov
423,s3,6,milosev mirjana mention,mirjana markov serbian,milosev serbia serb
423,s3,7,milosev mirjana serbian,mirjana markov refer,milosev serbia yugoslav
423,s3,8,milosev mirjana presid,mirjana markov nicknam,milosev serbia draskov
423,s3,9,milosev mirjana relev,mirjana markov specifi,milosev serbia yugoslavia
423,s3,10,milosev mirjana even,mirjana markov she,milosev serbia kostunica
347,s3,1,wildlif extinct spot,speci extinct wildlif,wildlif eleph speci
347,s3,2,wildlif extinct owl,speci extinct prevent,wildlif eleph rhino
347,s3,3,wildlif extinct episod,speci extinct countri,wildlif eleph tiger
347,s3,4,wildlif extinct america,speci extinct effort,wildlif eleph poacher
347,s3,5,wildlif extinct highlight,speci extinct owl,wildlif eleph ivori
347,s3,6,wildlif extinct u.,speci extinct demis,wildlif eleph anim
347,s3,7,wildlif extinct effort,speci extinct u.,wildlif eleph panda
347,s3,8,wildlif extinct prevent,speci extinct specifi,wildlif eleph poach
347,s3,9,wildlif extinct speci,speci extinct relev,wildlif eleph endang
347,s3,10,wildlif extinct what,speci extinct episod,wildlif eleph rhinocero
426,s3,1,law enforc dog,dog relev enforc,dog polic bomb
426,s3,2,law enforc provid,dog relev handler,dog polic secur
426,s3,3,law enforc inform,dog relev inform,dog polic said
426,s3,4,law enforc us,dog relev law,dog polic snif
426,s3,5,law enforc worldwid,dog relev worldwid,dog polic airport
426,s3,6,law enforc purpos,dog relev item,dog polic search
426,s3,7,law enforc relev,dog relev purpos,dog polic offic
426,s3,8,law enforc item,dog relev specif,dog polic explos
426,s3,9,law enforc includ,dog relev train,dog polic offici
426,s3,10,law enforc specif,dog relev us,dog polic passeng
427,s3,1,uv damag ey,uv damag relev,ozon ultraviolet cataract
427,s3,2,uv damag find,uv damag document,ozon ultraviolet ey
427,s3,3,uv damag document,uv damag discuss,ozon ultraviolet radiat
427,s3,4,uv damag discuss,uv damag ocular,ozon ultraviolet skin
427,s3,5,uv damag ultraviolet,uv damag ey,ozon ultraviolet chemic
427,s3,6,uv damag light,uv damag melanoma,ozon ultraviolet chlorofluorocarbon
427,s3,7,uv damag from,uv damag cataract,ozon ultraviolet sun
427,s3,8,uv damag sun,uv damag ultraviolet,ozon ultraviolet sunglass
427,s3,9,uv damag can,uv damag treatment,ozon ultraviolet deplet
427,s3,10,uv damag do,uv damag laser,ozon ultraviolet protect
307,s3,1,new hydroelectr project,relev project hydroelectr,dam project china
307,s3,2,new hydroelectr identifi,relev project reservoir,dam project river
307,s3,3,new hydroelectr propos,relev project propos,dam project quebec
307,s3,4,new hydroelectr under,relev project locat,dam project hydroelectr
307,s3,5,new hydroelectr construct,relev project exist,dam project yangtz
307,s3,6,new hydroelectr countri,relev project minimum,dam project gorg
307,s3,7,new hydroelectr locat,relev project facil,dam project water
307,s3,8,new hydroelectr detail,relev project underwai,dam project hydro
307,s3,9,new hydroelectr descript,relev project construct,dam project environment
307,s3,10,new hydroelectr natur,relev project statement,dam project power
626,s3,1,human stamped find,stamped relev human,stamped pilgrim were
626,s3,2,human stamped report,stamped relev document,stamped pilgrim peopl
626,s3,3,human stamped have,stamped relev mention,stamped pilgrim crowd
626,s3,4,human stamped result,stamped relev event,stamped pilgrim fire
626,s3,5,human stamped 20,stamped relev anim,stamped pilgrim kill
626,s3,6,human stamped more,stamped relev entertain,stamped pilgrim saudi
626,s3,7,human stamped death,stamped relev restaur,stamped pilgrim said
626,s3,8,human stamped document,stamped relev bar,stamped pilgrim club
626,s3,9,human stamped mention,stamped relev sport,stamped pilgrim mecca
626,s3,10,human stamped peopl,stamped relev kill,stamped pilgrim polic
393,s4,1,merci,relev,kevorkian
393,s4,2,merci kill,relev merci,kevorkian suicid
393,s4,3,merci kill identifi,relev merci case,kevorkian suicid patient
393,s4,4,merci kill identifi document,relev merci case kill,kevorkian suicid patient doctor
393,s4,5,merci kill identifi document discuss,relev merci case kill mention,kevorkian suicid patient doctor euthanasia
393,s4,6,merci kill identifi document discuss all,relev merci case kill mention descript,kevorkian suicid patient doctor euthanasia dr
393,s4,7,merci kill identifi document discuss all individu,relev merci case kill mention descript murder,kevorkian suicid patient doctor euthanasia dr assist
393,s4,8,merci kill identifi document discuss all individu case,relev merci case kill mention descript murder document,kevorkian suicid patient doctor euthanasia dr assist die
393,s4,9,merci kill identifi document discuss all individu case relev,relev merci case kill mention descript murder document victim,kevorkian suicid patient doctor euthanasia dr assist die death
393,s4,10,merci kill identifi document discuss all individu case relev except,relev merci case kill mention descript murder document victim specif,kevorkian suicid patient doctor euthanasia dr assist die death medic
350,s4,1,health,termin,ergonom
350,s4,2,health comput,termin carpel,ergonom comput
350,s4,3,health comput termin,termin carpel comput,ergonom comput keyboard
350,s4,4,health comput termin hazard,termin carpel comput health,ergonom comput keyboard injuri
350,s4,5,health comput termin hazard individu,termin carpel comput health cataract,ergonom comput keyboard injuri vdt
350,s4,6,health comput termin hazard individu work,termin carpel comput health cataract daili,ergonom comput keyboard injuri vdt repetit
350,s4,7,health comput termin hazard individu work daili,termin carpel comput health cataract daili allevi,ergonom comput keyboard injuri vdt repetit termin
350,s4,8,health comput termin hazard individu work daili basi,termin carpel comput health cataract daili allevi fatigu,ergonom comput keyboard injuri vdt repetit termin worker
350,s4,9,health comput termin hazard individu work daili basi relev,termin carpel comput health cataract daili allevi fatigu disord,ergonom comput keyboard injuri vdt repetit termin worker wrist
350,s4,10,health comput termin hazard individu work daili basi relev document,termin carpel comput health cataract daili allevi fatigu disord tunnel,ergonom comput keyboard injuri vdt repetit termin worker wrist carpal
394,s4,1,home,data,school
394,s4,2,home school,data relev,school home
394,s4,3,home school identifi,data relev home,school home children
394,s4,4,home school identifi document,data relev home educ,school home children parent
394,s4,5,home school identifi document discuss,data relev home educ environ,school home children parent educ
394,s4,6,home school identifi document discuss educ,data relev home educ environ document,school home children parent educ schooler
394,s4,7,home school identifi document discuss educ children,data relev home educ environ document children,school home children parent educ schooler student
394,s4,8,home school identifi document discuss educ children relev,data relev home educ environ document children school,school home children parent educ schooler student she
394,s4,9,home school identifi document discuss educ children relev would,data relev home educ environ document children school disadvantag,school home children parent educ schooler student she teacher
394,s4,10,home school identifi document discuss educ children relev would contain,data relev home educ environ document children school disadvantag classroom,school home children parent educ schooler student she teacher famili
353,s4,1,antarctica,antarctica,antarctica
353,s4,2,antarctica explor,antarctica scientif,antarctica ozon
353,s4,3,antarctica explor identifi,antarctica scientif systemat,antarctica ozon ic
353,s4,4,antarctica explor identifi systemat,antarctica scientif systemat explor,antarctica ozon ic antarct
353,s4,5,antarctica explor identifi systemat scientif,antarctica scientif systemat explor document,antarctica ozon ic antarct scientist
353,s4,6,antarctica explor identifi systemat scientif investig,antarctica scientif systemat explor document ionospher,antarctica ozon ic antarct scientist atmospher
353,s4,7,antarctica explor identifi systemat scientif investig current,antarctica scientif systemat explor document ionospher seismolog,antarctica ozon ic antarct scientist atmospher dr
353,s4,8,antarctica explor identifi systemat scientif investig current plan,antarctica scientif systemat explor document ionospher seismolog non,antarctica ozon ic antarct scientist atmospher dr pole
353,s4,9,antarctica explor identifi systemat scientif investig current plan document,antarctica scientif systemat explor document ionospher seismolog non e.g,antarctica ozon ic antarct scientist atmospher dr pole sea
353,s4,10,antarctica explor identifi systemat scientif investig current plan document discuss,antarctica scientif systemat explor document ionospher seismolog non e.g discuss,antarctica ozon ic antarct scientist atmospher dr pole sea deplet
397,s4,1,automobil,automobil,recal
397,s4,2,automobil recal,automobil recal,recal car
397,s4,3,automobil recal identifi,automobil recal document,recal car ford
397,s4,4,automobil recal identifi document,automobil recal document relev,recal car ford vehicl
397,s4,5,automobil recal identifi document discuss,automobil recal document relev discuss,recal car ford vehicl defect
397,s4,6,automobil recal identifi document discuss reason,automobil recal document relev discuss specifi,recal car ford vehicl defect motor
397,s4,7,automobil recal identifi document discuss reason relev,automobil recal document relev discuss specifi reason,recal car ford vehicl defect motor safeti
397,s4,8,automobil recal identifi document discuss reason relev specifi,automobil recal document relev discuss specifi reason truck,recal car ford vehicl defect motor safeti mitsubishi
